ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
45764581,21012,1195,MERCEDES-BENZ,Vito,2008,Microbus,No,Diesel,2.2 Turbo,179348 km,4.0,Manual,Rear,04-May,Left wheel,White,2
45763778,52059,1363,LEXUS,GX 460,2012,Jeep,Yes,Petrol,4.6,229334 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45796573,12544,1185,SUBARU,Forester,2009,Jeep,No,Petrol,2.5,115000 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
45455263,16935,645,LEXUS,CT 200h,2011,Sedan,Yes,Hybrid,1.8,158000 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,8
45760560,22266,1399,TOYOTA,RAV 4,2010,Jeep,No,Petrol,3.5,160000 km,6.0,Automatic,Front,04-May,Left wheel,Silver,8
45798513,47042,-,CADILLAC,Escalade,2008,Jeep,Yes,LPG,6.2,288000 km,8.0,Tiptronic,Rear,04-May,Left wheel,Black,12
45798379,14113,-,TOYOTA,Prius,2005,Hatchback,Yes,Hybrid,1.5,2696320 km,4.0,Automatic,Front,04-May,Left wheel,Grey,6
45649715,3607,781,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,156518 km,4.0,Automatic,Front,04-May,Left wheel,White,12
45813200,1098,639,VOLKSWAGEN,Tiguan,2014,Jeep,Yes,Petrol,2,58899 km,4.0,Automatic,4x4,04-May,Left wheel,Red,12
45815744,9408,-,MERCEDES-BENZ,E 320,2000,Sedan,Yes,CNG,3.2,192000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Silver,6
45794590,6586,1701,NISSAN,Tiida 15 M,2010,Hatchback,No,Petrol,1.5,39000 km,4.0,Automatic,Front,04-May,Right-hand drive,Beige,4
45776951,11604,-,JEEP,Liberty,2003,Jeep,Yes,Petrol,2.4,0 km,4.0,Manual,4x4,04-May,Left wheel,Blue,8
45802587,39226,765,HYUNDAI,Santa FE,2015,Jeep,Yes,Diesel,2,147808 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
45758570,314,781,MAZDA,Eunos 500,2012,Sedan,Yes,Petrol,2.5,186450 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
45642682,862,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,130478 km,4.0,Automatic,Front,04-May,Left wheel,White,12
42728035,18503,-,MERCEDES-BENZ,C 180,2015,Sedan,No,Petrol,1.8 Turbo,72000 km,4.0,Tiptronic,Front,04-May,Left wheel,Red,9
45803644,17747,642,HYUNDAI,Tucson,2012,Jeep,Yes,Diesel,2,225117 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
45648188,470,753,HYUNDAI,Sonata,2012,Sedan,Yes,Hybrid,2.4,202864 km,4.0,Automatic,Front,04-May,Left wheel,Blue,0
45724333,11604,629,HYUNDAI,Veloster,2015,Hatchback,No,Petrol,1.6,62000 km,4.0,Tiptronic,Front,02-Mar,Left wheel,Blue,12
45809728,22502,502,TOYOTA,Aqua,2013,Hatchback,Yes,Petrol,1.5,93810 km,4.0,Automatic,Front,04-May,Left wheel,White,4
45802770,33214,640,HYUNDAI,Santa FE,2013,Jeep,Yes,Diesel,2,79730 km,4.0,Automatic,Front,04-May,Left wheel,White,4
45802594,36567,765,HYUNDAI,Santa FE,2015,Jeep,Yes,Diesel,2,146844 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4
45728096,549,585,LEXUS,CT 200h,2013,Hatchback,Yes,Hybrid,1.8,65989 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12
45771752,40,-,TOYOTA,Prius,2008,Hatchback,No,Hybrid,1.5,200000 km,4.0,Variator,Front,04-May,Left wheel,White,4
45813593,8500,-,MERCEDES-BENZ,E 240,2001,Sedan,Yes,Petrol,2.4,0 km,6.0,Tiptronic,Rear,04-May,Right-hand drive,Golden,6
43743712,15000,2123,MAZDA,Axela,2017,Hatchback,No,Petrol,1.5,38000 km,4.0,Automatic,Front,04-May,Right-hand drive,Black,4
45766495,784,639,SUBARU,XV,2014,Jeep,Yes,Petrol,2,64923 km,4.0,Automatic,4x4,04-May,Left wheel,Orange,0
45730579,20266,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,134000 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45782156,24462,1055,TOYOTA,Highlander,2013,Jeep,Yes,Hybrid,3.5,371200 km,6.0,Tiptronic,4x4,04-May,Left wheel,Grey,12
45769645,125,1324,TOYOTA,Highlander,2010,Sedan,Yes,Hybrid,3.3,316912 km,6.0,Automatic,4x4,04-May,Left wheel,Blue,12
45787317,56450,-,TOYOTA,Camry Se,2018,Sedan,Yes,Petrol,2.5,25000 km,4.0,Tiptronic,Front,04-May,Left wheel,Blue,12
45769188,1568,1493,MERCEDES-BENZ,E 350,2016,Sedan,Yes,Diesel,3.5,77205 km,6.0,Automatic,Rear,04-May,Left wheel,Grey,12
45352504,13799,-,SKODA,Fabia,2009,Hatchback,No,Diesel,1.4 Turbo,120000 km,3.0,Manual,Front,04-May,Left wheel,Black,6
45769075,56136,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,50963 km,4.0,Automatic,Rear,04-May,Left wheel,Black,12
45732154,44724,971,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.2,137986 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45810300,862,1080,PORSCHE,Cayenne,2014,Jeep,Yes,Petrol,3.6,56886 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
45765767,7213,-,FORD,Transit Fff,1991,Microbus,No,Diesel,2.5,111111 km,7.0,Manual,Rear,04-May,Left wheel,White,1
45732718,10349,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,564538 km,4.0,Automatic,Front,04-May,Left wheel,White,4
45740736,23521,584,MERCEDES-BENZ,C 250,2014,Sedan,Yes,Petrol,1.8 Turbo,109000 km,4.0,Tiptronic,Rear,04-May,Left wheel,Blue,9
45803530,9408,640,HYUNDAI,Sonata,2013,Sedan,Yes,LPG,2,48595 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45631958,16935,765,FORD,Fusion,2015,Sedan,Yes,Petrol,2,71454 km,4.0,Automatic,Front,04-May,Left wheel,Black,0
45797810,19121,530,HYUNDAI,Elantra,2013,Sedan,Yes,Petrol,1.6,78633 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
45787239,11604,-,MERCEDES-BENZ,GL 500,2005,Sedan,Yes,Petrol,5,0 km,8.0,Tiptronic,Rear,04-May,Left wheel,Black,8
45805574,7527,-,MITSUBISHI,Airtrek,2001,Jeep,Yes,CNG,2,111111 km,4.0,Tiptronic,Front,04-May,Left wheel,Silver,4
45706976,11290,-,HONDA,FIT,2013,Sedan,No,Hybrid,1.3,145000 km,4.0,Automatic,Front,04-May,Right-hand drive,Silver,8
45792144,3293,586,HONDA,Civic,2012,Sedan,Yes,Petrol,1.8,124509 km,4.0,Automatic,Front,04-May,Left wheel,White,12
45801563,11704,687,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,180093 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
45790011,6272,-,HONDA,FIT,2002,Hatchback,No,Petrol,1.3,115500 km,4.0,Variator,Front,04-May,Right-hand drive,Blue,2
45799450,18817,-,BMW,530,2005,Sedan,Yes,Petrol,3.0 Turbo,170000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Blue,8
45790021,7840,-,MITSUBISHI,Pajero IO,2000,Jeep,No,Petrol,2,95000 km,4.0,Manual,4x4,04-May,Left wheel,Blue,4
45732959,15681,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,284189 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45730474,29075,640,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2,169027 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45546312,7840,-,MITSUBISHI,Pajero,2000,Jeep,No,CNG,3.5,287745 km,6.0,Automatic,4x4,04-May,Right-hand drive,Silver,4
45798874,9408,-,MERCEDES-BENZ,E 550,1999,Sedan,Yes,Petrol,3.2,150000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Silver,6
44964344,21953,-,HYUNDAI,Sonata,2015,Sedan,No,Petrol,2.4,91200 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,12
45732553,51517,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,123898 km,4.0,Automatic,Front,04-May,Left wheel,White,4
45397225,10000,-,MERCEDES-BENZ,Sprinter,1998,Microbus,Yes,CNG,3.2 Turbo,800000 km,6.0,Manual,Rear,04-May,Left wheel,White,2
45804630,38894,770,HYUNDAI,Tucson,2016,Jeep,Yes,Diesel,1.7,96618 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
45777018,10976,-,AUDI,A4 B7,2008,Sedan,Yes,Petrol,2.0 Turbo,226000 km,4.0,Tiptronic,4x4,04-May,Left wheel,Grey,8
45781363,15681,586,FORD,Transit Connect,2012,Goods wagon,No,Diesel,1.8 Turbo,23000 km,4.0,Manual,Front,02-Mar,Left wheel,White,4
45798729,5200,-,VOLKSWAGEN,Passat,1999,Sedan,Yes,CNG,1.8 Turbo,0 km,4.0,Manual,Front,04-May,Left wheel,Black,2
45792757,12544,-,HONDA,FIT,2012,Hatchback,No,Hybrid,1.3,81000 km,4.0,Automatic,Front,04-May,Right-hand drive,Silver,8
45636372,2666,382,FORD,Fusion,2015,Sedan,Yes,Hybrid,2,100747 km,4.0,Automatic,Front,04-May,Left wheel,Green,0
45803042,40390,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,134413 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45813236,470,697,VOLKSWAGEN,Jetta,2015,Sedan,Yes,Petrol,1.8,117006 km,4.0,Automatic,Front,04-May,Left wheel,White,12
45618065,549,1292,MERCEDES-BENZ,GLE 350,2016,Jeep,Yes,Petrol,3,86189 km,6.0,Automatic,4x4,04-May,Left wheel,Blue,0
45654624,706,1104,AUDI,A8,2015,Sedan,Yes,Diesel,3,131674 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
45812865,15367,521,CHEVROLET,Volt,2011,Hatchback,Yes,Plug-in Hybrid,1.4,360000 km,4.0,Tiptronic,Front,04-May,Left wheel,Carnelian red,10
45641964,3763,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,124912 km,4.0,Automatic,Front,04-May,Left wheel,White,12
45802201,33741,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,106200 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
45816654,18817,-,TOYOTA,Camry,2009,Sedan,Yes,Petrol,2.4,230400 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12
45640545,4077,640,FORD,Fusion,2013,Sedan,Yes,Hybrid,2,320554 km,4.0,Automatic,Front,04-May,Left wheel,White,0
45646660,3136,781,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,159379 km,4.0,Automatic,Front,04-May,Left wheel,White,12
45774869,11604,-,SUBARU,Forester,2006,Jeep,No,Petrol,2,257600 km,1.0,Tiptronic,4x4,04-May,Right-hand drive,Black,2
45749191,9095,-,TOYOTA,ISIS,2006,Minivan,No,Petrol,2,204000 km,4.0,Variator,Front,04-May,Right-hand drive,White,8
45644954,30577,-,FORD,Transit,2006,Goods wagon,No,Diesel,2.4 Turbo,197500 km,4.0,Manual,Rear,02-Mar,Left wheel,Red,0
45769754,2430,1598,MERCEDES-BENZ,E 350,2008,Sedan,Yes,Diesel,3,175614 km,6.0,Automatic,Rear,04-May,Left wheel,Black,12
45688482,22580,697,VOLKSWAGEN,Jetta,2015,Sedan,Yes,Petrol,1.8 Turbo,39000 km,4.0,Tiptronic,Front,04-May,Left wheel,Red,6
45732747,10663,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,343047 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45807749,73698,1104,BMW,635,2015,Sedan,Yes,Petrol,3.0 Turbo,43000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Grey,12
45788021,4234,-,NISSAN,Bluebird,2002,Sedan,No,Petrol,2,10000 km,4.0,Tiptronic,Front,04-May,Right-hand drive,Carnelian red,12
45761282,627,475,CHEVROLET,Volt,2012,Jeep,Yes,Hybrid,1.4,188419 km,4.0,Automatic,Front,04-May,Left wheel,Red,0
45802397,19441,1024,HYUNDAI,H1,2010,Minivan,Yes,Diesel,2.5,223603 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45788774,25089,1058,MERCEDES-BENZ,E 350,2012,Sedan,Yes,Petrol,3.5,291200 km,6.0,Tiptronic,Rear,04-May,Left wheel,Black,0
45802356,18660,862,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,55248 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
43042015,14113,-,OPEL,Astra H,2009,Goods wagon,No,Diesel,1.9 Turbo,160000 km,6.0,Tiptronic,Front,04-May,Left wheel,Silver,6
45761182,188,289,FORD,Escape,2008,Sedan,Yes,Hybrid,0.4,209843 km,4.0,Automatic,Front,04-May,Left wheel,Grey,0
45764921,39829,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45801020,11760,-,HONDA,Elysion,2005,Minivan,Yes,Petrol,2.4,145000 km,4.0,Tiptronic,4x4,04-May,Right-hand drive,White,6
45803058,52357,1017,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,2,70800 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45640568,2822,382,FORD,Fusion,2015,Sedan,Yes,Hybrid,2,100747 km,4.0,Automatic,Front,04-May,Left wheel,Green,0
45809192,41400,833,CHEVROLET,Captiva,2015,Jeep,Yes,Diesel,2.2,70003 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
45624028,12231,843,TOYOTA,Prius,2008,Sedan,No,Hybrid,1.5,17000 km,4.0,Variator,Front,04-May,Left wheel,Red,8
45550192,40142,-,TOYOTA,RAV 4,2016,Jeep,No,Petrol,2.5,27000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12
45793522,22580,1286,AUDI,Q5,2010,Jeep,Yes,Petrol,3.2,150400 km,6.0,Tiptronic,4x4,04-May,Left wheel,Grey,7
43683199,216391,-,MERCEDES-BENZ,G 65 AMG G63 AMG,2013,Jeep,Yes,Petrol,5.5 Turbo,54000 km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,12
45694943,8147,1236,HONDA,FIT PREMIUMI,2011,Hatchback,No,Hybrid,1.3,133000 km,4.0,Tiptronic,Front,04-May,Right-hand drive,Silver,4
45789259,23521,-,TOYOTA,Camry se,2013,Sedan,Yes,Petrol,2.5,145000 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,8
45776463,18817,-,TOYOTA,Prius C,2012,Hatchback,No,Hybrid,1.5,108000 km,4.0,Variator,Front,04-May,Left wheel,Red,10
45781812,15681,562,CHEVROLET,Cruze,2015,Sedan,No,Petrol,1.4 Turbo,75000 km,4.0,Tiptronic,Front,04-May,Left wheel,White,10
45778944,12544,574,HONDA,Insight,2010,Hatchback,No,Hybrid,1.3,111867 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0
45804418,31245,2108,LEXUS,LS 460,2009,Sedan,Yes,Petrol,4.6,188266 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
45065386,23521,738,BUICK,Encore,2017,Jeep,Yes,Petrol,1.4 Turbo,26954 km,4.0,Automatic,Front,04-May,Left wheel,Black,8
45808887,75160,1156,FORD,Explorer,2017,Jeep,Yes,Petrol,2.3,66901 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4
45647801,14583,919,BMW,X5,2012,Jeep,Yes,Diesel,3,229966 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
45654463,1568,639,BMW,328,2014,Sedan,Yes,Diesel,2,78194 km,4.0,Automatic,4x4,04-May,Left wheel,Black,12
45766649,1882,746,TOYOTA,Prius,2009,Sedan,Yes,Hybrid,1.5,142426 km,4.0,Automatic,Front,04-May,Left wheel,White,12
45732095,49858,639,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2,79769 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
43865619,30734,-,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,65000 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
45786722,9000,-,FORD,Transit,1992,Microbus,No,Diesel,2.5 Turbo,111111 km,2.0,Manual,Rear,02-Mar,Left wheel,Carnelian red,1
45757322,7527,830,TOYOTA,Yaris,2019,Sedan,Yes,Petrol,1.5,27656 km,4.0,Automatic,Front,04-May,Left wheel,White,12
45804842,27591,639,HYUNDAI,Tucson,2014,Jeep,Yes,Diesel,2,101816 km,4.0,Automatic,Front,04-May,Left wheel,White,4
44433591,30,-,HONDA,FIT,2005,Hatchback,No,Petrol,1.3,145000 km,4.0,Automatic,Front,04-May,Right-hand drive,White,4
45571584,14426,-,TOYOTA,Prius,2010,Hatchback,No,Hybrid,1.8,188800 km,4.0,Automatic,Front,04-May,Left wheel,Silver,8
45641375,706,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,115312 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12
45646488,1098,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,398069 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
45548904,20385,-,TOYOTA,Camry se,2012,Sedan,Yes,Petrol,2.5,65990 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,12
45769778,1882,442,TOYOTA,Prius,2017,Sedan,Yes,Hybrid,1.8,47672 km,4.0,Automatic,Front,04-May,Left wheel,White,12
45303823,30,-,HONDA,FIT,2005,Hatchback,No,Petrol,1.3,169000 km,4.0,Automatic,Front,04-May,Right-hand drive,White,4
45816306,9408,917,BMW,X5,2013,Jeep,Yes,Diesel,3,88829 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
45788368,29793,394,TOYOTA,Camry,2014,Sedan,No,Hybrid,2.5,174400 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,12
45781880,48610,-,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Petrol,3.5,117700 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,8
45804447,40556,877,HYUNDAI,Tucson,2017,Jeep,Yes,Diesel,1.7,82430 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
45732647,15681,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,257102 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45772886,314,1528,TOYOTA,RAV 4,2007,Jeep,Yes,Petrol,2.4,390626 km,4.0,Automatic,4x4,04-May,Left wheel,Blue,12
45584546,18817,1018,BMW,528,2011,Sedan,Yes,Petrol,3,107000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Blue,10
45805714,11290,586,HYUNDAI,Elantra,2012,Sedan,No,Petrol,1.8,204000 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,10
45789953,16308,911,KIA,Sorento,2010,Jeep,Yes,Diesel,2.2,74000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
45647934,8154,642,AUDI,Q5,2012,Jeep,Yes,Petrol,2,157464 km,4.0,Automatic,4x4,04-May,Left wheel,Silver,0
45491643,18817,-,HYUNDAI,Elantra,2014,Sedan,No,Petrol,1.8,116800 km,4.0,Tiptronic,Rear,04-May,Left wheel,White,0
45509166,10976,831,NISSAN,Versa,2017,Sedan,No,Petrol,1.6,64765 km,4.0,Automatic,Front,04-May,Left wheel,White,6
45789786,7500,-,MERCEDES-BENZ,A 170,2000,Sedan,Yes,Diesel,1.7 Turbo,187000 km,4.0,Manual,Front,04-May,Left wheel,Black,4
45730091,25889,730,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.6,79420 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4
45733376,9722,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,362818 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4
45810297,22567,640,CHEVROLET,Malibu,2013,Sedan,Yes,Petrol,2,201612 km,4.0,Automatic,Front,04-May,Left wheel,White,4
45779084,20385,781,TOYOTA,Camry,2012,Sedan,No,Petrol,2.5,156800 km,4.0,Tiptronic,Front,04-May,Left wheel,Green,8
45635119,282,640,FORD,Fusion,2013,Sedan,Yes,Hybrid,2,174619 km,4.0,Automatic,Front,04-May,Left wheel,Grey,0
45769784,392,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,1600 km,4.0,Automatic,Rear,04-May,Left wheel,Black,12
44382877,15000,1552,MAZDA,Axela,2015,Hatchback,Yes,Petrol,1.5,39000 km,4.0,Automatic,Front,04-May,Right-hand drive,Brown,6
45809205,26701,1055,FORD,Taurus,2013,Sedan,Yes,Petrol,3.5,110439 km,4.0,Automatic,Front,04-May,Left wheel,Red,4
45802708,15323,836,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2,200091 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45759978,22580,642,KIA,Optima,2012,Sedan,Yes,Petrol,2.0 Turbo,115000 km,4.0,Tiptronic,Front,04-May,Left wheel,White,8
45802933,41720,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,113120 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
45760689,15994,584,VOLKSWAGEN,Passat,2014,Sedan,Yes,Petrol,1.8 Turbo,65282 km,4.0,Automatic,Front,04-May,Left wheel,Black,8
45773793,7840,-,HONDA,Odyssey,2005,Minivan,No,Petrol,2.4,200000 km,4.0,Tiptronic,Front,04-May,Right-hand drive,Silver,6
45280672,18817,-,FORD,Escape,2009,Jeep,No,Hybrid,2.5,198000 km,4.0,Automatic,4x4,04-May,Left wheel,White,4
45813973,470,1104,MERCEDES-BENZ,CLS 55 AMG,2015,Sedan,Yes,Petrol,3,110429 km,6.0,Automatic,Rear,04-May,Left wheel,Silver,12
44950712,26030,1055,KIA,Sorento,2013,Jeep,No,Petrol,3.5,102000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,16
45806363,34497,919,BMW,535,2012,Sedan,Yes,Petrol,3.0 Turbo,124000 km,6.0,Tiptronic,4x4,04-May,Left wheel,White,16
45797012,10976,-,HONDA,CR-Z,2011,Sedan,No,Hybrid,1.5,170000 km,4.0,Automatic,Front,02-Mar,Left wheel,Black,4
45769039,1646,1399,MERCEDES-BENZ,E 350,2010,Sedan,Yes,Petrol,3.5,205968 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
45384274,28225,640,FORD,Fusion,2013,Sedan,Yes,Hybrid,2,126000 km,4.0,Variator,Front,04-May,Left wheel,Grey,4
45800847,23800,-,BMW,X1,2013,Jeep,Yes,Petrol,2.0 Turbo,65000 km,4.0,Tiptronic,Rear,04-May,Left wheel,Black,12
45801512,10976,528,HYUNDAI,Elantra,2014,Sedan,Yes,Petrol,1.6,75000 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45189258,14740,-,TOYOTA,Prius,2010,Hatchback,Yes,Petrol,1.8,120000 km,4.0,Variator,Front,04-May,Left wheel,Black,6
45772688,30734,2151,LEXUS,GX 470,2009,Jeep,Yes,Petrol,4.7,264339 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45658757,220,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,317470 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,12
45810398,21395,629,CHEVROLET,Orlando,2015,Jeep,Yes,Diesel,1.6,138541 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
